index,hash,aspect_pos,aspect_pos_string,stance,topic,sentence
1,58096c7b1ade0b7a9c2e849a80d2051d,"['(57,23)']",['ability to do something'],Argument_against,cloning,Because We Can : Just because science gives humanity the ability to do something does not mean that humankind should .
2,abc2c9d8d6e74d004c6788004994fed0,"['(40,29)', '(107,17)']","['natural process of conception', 'morally condemned']",Argument_against,cloning,"In addition , anything that thwarts the natural process of conception ( i.e. , birth control ) may also be morally condemned ."
3,2b827f6ba96c157a49107c83957e0847,"['(52,22)']",['safe as IVF technology'],Argument_for,cloning,"For reproductive cloning , this could mean being as safe as IVF technology for example ."
4,66b205eef831548a7f58211ed95d5d92,"['(24,14)', '(103,21)']","['moral problems', 'exploitation of women']",Argument_against,cloning,"There are other serious moral problems associated with cloning-for-biomedical-research , including the exploitation of women who will be needed to provide eggs ."
5,311b354e6f606ba11f1d6756bb1738f8,"['(6,4)', '(21,17)', '(46,23)', '(95,11)']","['race', 'arbitrary factors', 'economics and geography', 'determinant']",Argument_against,death penalty,"Until race and other arbitrary factors , like economics and geography , can be eliminated as a determinant of who lives and who dies , the death penalty must not be used ."
6,284f91bbdb4dbd5bae6bbcbb35c2f969,"['(91,15)', '(123,17)']","['rich and guilty', 'poor and innocent']",Argument_against,death penalty,Death sentences are imposed in a criminal justice system that treats you better if you are rich and guilty than if you are poor and innocent .
7,6ce64622eb53d7dafdf30e3cc9149dbf,"['(33,16)']",['witness had lied'],Argument_against,death penalty,"The students discovered that one witness had lied at the original trial , and they were able to find the true killer , who confessed to the crime on videotape ."
8,1d635fde305bb467d7ec57736e1f4959,"['(50,10)', '(64,4)', '(81,21)', '(119,18)']","['great deal', 'pain', 'unable to communicate', 'paralysing effects']",Argument_against,death penalty,"If it doesnï ¿ ½ t , then the person may suffer a great deal of pain but will be unable to communicate this due to the paralysing effects of the second drug ."
9,b556f66ce1153f8fee074b283b29fc6e,"['(59,19)']",['disastrous failures'],Argument_against,nuclear energy,International experts agree that there will continue to be disastrous failures at nuclear power stations and that this can not be avoided2 .
10,44590ed1ec9b7c040b40877defae0792,"['(0,17)']",['Uranium is Finite'],Argument_against,nuclear energy,"Uranium is Finite : Just like other sources of fuel , uranium is also finite and exists in few of the countries ."
11,83e7fd457ede3d90e25c93ef7965d3df,"['(38,5)', '(48,9)', '(112,25)']","['grave', 'dangerous', 'threaten the entire globe']",Argument_against,nuclear energy,"Reverting back to nuclear energy is a grave and dangerous move on Japan ’s part , a move that could potentially threaten the entire globe ."
12,01b11f5d88924107cae00aadcd769a6a,"['(4,14)', '(51,4)', '(56,18)', '(125,14)']","['Cleaning power', 'help', 'remove DNA damaged', 'genetic damage']",Argument_for,nuclear energy,The Cleaning power of Ionizing radiation will even help remove DNA damaged by the “ free ” radicals that may have caused the genetic damage in the first place and still be in place in the DNA molecule .
13,75f2e130ae8713d132d92148a891d53e,"['(49,26)', '(110,16)']","['environmentally beneficial', 'greenhouse gases']",Argument_for,nuclear energy,This is because it ’s now being touted as a more environmentally beneficial solution since it emits far fewer greenhouse gases during electricity generation than coal or other traditional power plants .
14,05d18f383c714229b12bc0c49720b843,"['(49,30)', '(106,33)']","['outsource to foreign countries', 'replace employees with technology']",Argument_against,minimum wage,Bastian believes businesses are going to look to outsource to foreign countries with competitive wages or replace employees with technology .
15,d7867f2908100c747f5369a9103c008a,"['(57,12)', '(86,8)']","['better tools', 'concerns']",Argument_against,minimum wage,"“ Economists are almost in agreement that there are much better tools to target those concerns , ” she said ."
16,1c6eefd054c82f1d7dc6b3ac6a487092,"['(62,16)', '(129,16)', '(160,15)']","['purchasing power', 'room to increase', 'adverse effects']",Argument_for,minimum wage,"And given how low the federal minimum wage is in terms of its purchasing power , it would stand to reason that there ’s a lot of room to increase it before any adverse effects to the economy set in ."
17,e9051d74eff655f57cd6a643a8fab069,"['(0,6)']",['Humans'],Argument_against,abortion,"Humans are humans not because they have feet , hands , walk vertically , and speak , etc ."
18,405e60753f5fa1dd00d7c2075b24d2e5,"['(0,20)', '(61,16)']","['Mother Teresa argued', 'nothing is wrong']",Argument_against,abortion,"Mother Teresa argued , simply , "" If abortion is not wrong , nothing is wrong . """
19,5b245ae7f5da7a3cd73eff5b182ceda0,"['(46,20)']",['asking for Cadillacs'],Argument_against,abortion,"If they get abortions , then next they ’ll be asking for Cadillacs ."
20,bfe474a9206363c77e38b12e2a6a9cf2,"['(57,8)', '(66,15)', '(102,27)']","['stopping', 'sweatshop labor', 'proliferation of sweatshops']",Argument_for,minimum wage,The movement for a minimum wage was initially focused on stopping sweatshop labor and controlling the proliferation of sweatshops in manufacturing industries .
21,021376f2dcd217d364fd0c455a515135,"['(78,18)']",['spend as consumers'],Argument_for,minimum wage,"Naturally , the more money workers earn through wages , the more they have to spend as consumers ."
22,fb0721969ca38b735ac3615f87c24457,"['(15,7)', '(23,4)', '(35,7)']","['minimum', 'wage', 'highest']",Argument_against,minimum wage,"Myth 4 : “ The minimum wage is the highest it has ever been , so we do n’t need to increase it . ”"
23,0946de307451ba43a1e533551c88b887,"['(20,12)', '(40,19)', '(93,19)']","['hiring older', 'experienced workers', 'bang for their buck']",Argument_against,minimum wage,"Or they might start hiring older , more experienced workers in lieu of teenagers to get more bang for their buck ."
24,5f7faa9be19fa028e7ac86e3e95fb861,"['(216,6)']",['deaths'],Argument_for,abortion,"The proposal can be simply to alter the child ’s physical dimensions and remove him or her , because , as a physical object , this body can not remain where it is without ending in both the baby ’s and the mother ’s deaths ."
25,dcf7b2eda7842ee9b521b2a06c05e710,"['(69,5)', '(117,17)', '(183,5)', '(207,27)']","['right', 'equal citizenship', 'right', 'con\xadsti\xadtutional legitimacy']",Argument_for,abortion,"And crucially , once the Supreme Court recognizes that people have a right to engage in certain conduct by virtue of equal citizenship , Americans do not count stripping them of this right as an increase in con­sti­tutional legitimacy ."
26,7c93225ff083f3bf1d001e8cf70327af,"['(27,16)', '(125,4)', '(135,9)', '(154,13)']","['feeling rejected', 'feel', 'gratitude', 'let them live']",Argument_against,abortion,"If your worried about them feeling rejected , they may feel sad that you did n't want them , but it is likely that they will feel some gratitude that you let them live ."
27,b64c8daddfa4162d63da98148db47aac,"['(39,15)']",['unstable family'],Argument_for,abortion,What if the baby would be born into an unstable family ?
28,4394244e1e9a30193fd83223bad88f5c,"['(106,13)', '(133,8)', '(148,13)', '(201,13)']","['right to life', 'reckless', 'morally wrong', 'right to life']",Argument_against,abortion,"According to this argument , if it is not known for certain whether something ( such as the fetus ) has a right to life , then it is reckless , and morally wrong , to treat that thing as if it lacks a right to life ( for example by killing it ) ."
29,b9bbfd3b3224321b2e20ee38eee00bc0,"['(22,17)', '(49,27)']","['mercy of the rich', 'technically advanced states']",Argument_for,nuclear energy,This puts them at the mercy of the rich and more technically advanced states if they go down the nuclear power route .
30,f679250a8466cd9995be810153677afb,"['(76,17)', '(188,16)']","['crippled reactors', 'containment leak']",Argument_against,nuclear energy,"These measures have included pumping thousands of tons of seawater into the crippled reactors and spent fuel rod containment pools , dropping water from helicopters , and trying to plug a containment leak first with concrete , then a polymer , and finally with sawdust and rags ."
31,49001e975ba3a06bf7d0c6c702d6dd81,"['(103,29)']",['nuclear weapons proliferation'],Argument_against,nuclear energy,"Former US Vice-President Al Gore said ( 18/9/06 ) : "" During my eight years in the White House , every nuclear weapons proliferation issue we dealt with was connected to a nuclear reactor program ."
32,0021fa778eaa97b2442ce074fb95fe10,['no_Aspect'],['no_Aspect'],Argument_against,nuclear energy,"The Premier , Mr Brian Burke , said that the Cabinet had reaffirmed that in no circumstances would a nuclear power station be built in WA ."
33,e79e135383906bc3ed9b947a5f2e19b8,"['(180,7)', '(188,14)']","['finding', 'new treatments']",Argument_for,cloning,"Jean-Paul Renard , of the National Institute of Agricultural Research in France , is attempting to produce cloned transgenic rabbits to study cardiovascular disease in the hope of finding new treatments ."
34,12d31225799973d76db690546a886fb2,"['(16,24)']",['legal in other countries'],Argument_for,cloning,The practice is legal in other countries .
35,d62fc1174ce5e7f26b0e1abf286a6ffb,"['(52,15)']",['God-given souls'],Argument_against,cloning,"As such , these individuals can not have ordinary , God-given souls ."
36,64fa5db517440b7690621406e6717c8a,"['(33,8)', '(46,22)']","['restrict', 'sexualization of girls']",Argument_for,school uniforms,"Uniforms can be seen as a way to restrict the sexualization of girls ( rules on hems of skirts , no shoulders ) ."
37,3906d274c6be3981dd9344e6e19470c2,"['(4,22)', '(139,12)']","['substantial disruption', 'interference']",Argument_for,school uniforms,A “ substantial disruption ” occurs when school administrators or teachers are unable to proceed with regular school activities due to the interference caused by a student ’s clothing .
38,a90ed344e3af00a752431a39812d379f,"['(30,25)', '(56,6)']","['homogeneity is definitely', 'boring']",Argument_against,school uniforms,"Whatever way you look at it , homogeneity is definitely boring ."
